753	162	163	735	507	119	162	928	86	538	
137	847	780	814	854	938	663	556	591	283	
753	171	930	664	128	366	128	143	863	160	
303	949	902	103	287	523	461	739	100	221	
470	982	294	471	505	747	917	254	806	897	
517	555	641	142	124	600	767	203	183	18	
994	112	448	553	547	786	516	602	728	645	
824	807	939	942	743	509	631	981	137	823	
304	281	536	847	927	552	171	294	223	93	
309	292	169	219	664	517	131	705	543	460	
179	197	187	446	674	106	993	268	196	471	
878	912	951	74	454	858	85	261	132	12	
91	379	991	636	376	194	849	603	644	750	
47	690	195	93	716	146	696	546	608	995	
310	312	11	628	626	927	472	933	805	951	
862	715	86	262	687	343	228	338	460	396	
313	424	93	858	58	856	653	881	295	60	
404	274	116	830	563	341	88	282	264	384	
846	125	490	779	370	379	494	498	943	806	
902	312	201	3	18	743	359	814	21	914	
515	170	665	541	695	615	40	69	18	153	
651	668	659	61	156	307	654	152	113	413	
730	144	9	17	124	935	707	400	300	135	
196	53	285	667	451	655	759	13	609	38	
303	953	373	347	356	944	265	443	942	560	
75	700	562	688	920	803	969	848	227	900	
395	216	303	529	35	330	327	603	183	284	
472	283	944	839	862	428	391	483	362	13	
435	506	353	231	559	481	906	183	147	278	
224	882	685	563	81	769	954	93	63	486	
510	337	536	904	843	795	106	331	426	640	
419	31	391	91	641	85	677	97	312	751	
575	944	217	961	98	749	82	184	15	522	
172	930	351	640	589	474	89	121	425	778	
33	680	967	146	343	412	758	729	575	471	
158	133	481	815	133	713	462	438	77	170	
569	282	753	260	868	52	459	47	83	329	
449	601	373	201	18	353	657	669	817	333	
138	636	730	184	616	640	640	294	44	775	
